Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1996,1996,1996,2,0,2,Export,32,Argentina,ARG,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,12416,,,0
H1,1996,1996,1996,2,0,2,Export,156,China,CHN,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,30085,,,0
H1,1996,1996,1996,2,0,2,Export,203,Czechia,CZE,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,454849,,,0
H1,1996,1996,1996,2,0,2,Export,251,France,FRA,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,7622,,,0
H1,1996,1996,1996,2,0,2,Export,276,Germany,DEU,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,23254,,,0
H1,1996,1996,1996,2,0,2,Export,381,Italy,ITA,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,819757,,,0
H1,1996,1996,1996,2,0,2,Export,410,Rep. of Korea,KOR,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,91500,,,0
H1,1996,1996,1996,2,0,2,Export,484,Mexico,MEX,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,360275,,,0
H1,1996,1996,1996,2,0,2,Export,724,Spain,ESP,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,82534,,,0
H1,1996,1996,1996,2,0,2,Export,757,Switzerland,CHE,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,2524,,,0
H1,1996,1996,1996,2,0,2,Export,842,USA,USA,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,1703756,,,0
H1,1997,1997,1997,2,0,2,Export,32,Argentina,ARG,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,12943,,,0
H1,1997,1997,1997,2,0,2,Export,40,Austria,AUT,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,786404,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,445616,,,0
H1,1997,1997,1997,2,0,2,Export,156,China,CHN,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,3100,,,0
H1,1997,1997,1997,2,0,1,Import,170,Colombia,COL,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,607,,,0
H1,1997,1997,1997,2,0,2,Export,251,France,FRA,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,8746,,,0
H1,1997,1997,1997,2,0,2,Export,276,Germany,DEU,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,13840,,,0
H1,1997,1997,1997,2,0,2,Export,381,Italy,ITA,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,269799,,,0
H1,1997,1997,1997,2,0,2,Export,410,Rep. of Korea,KOR,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,676430,,,0
H1,1997,1997,1997,2,0,2,Export,484,Mexico,MEX,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,701033,,,0
H1,1997,1997,1997,2,0,2,Export,620,Portugal,PRT,320,Guatemala,GTM,,,,,,,,93,"Arms and ammunition, parts and accessories thereof",1,No Quantity,,,,,,,378864,,,0
