IMPORTADOR,IMPORTACIONES
CORPO Q,153
AIRE LIBRE,152
MUNICAR,115
CEMSA,77
MUNICIONES,68
COMERCIAL AGRICOLA BOLAÑOS,53
ALMACEN EL BISONTE,47
MAINLEY,42
DEFENSA,38
ARMAS DEFENSIVAS Y DEPORTIVAS,31
MUNAR,29
"POLIGONOS, SOCIEDAD ANONIMA",24
SANTA CATARINA MITA,23
CAMUFLAJE,21
IMPORTADORA GUATEMALTECA,18
IMSA,18
ARMAS Y MUNICIONES,15
"SAFARI SHOOTING, S.A.",11
GIR,11
COMERCIAL DE ARMAS Y MUNICIONES DE JUTIAPA,10
STI GUATEMALA,9
CONFEDERACION DEPORTIVA AUTONOMA DE GUATEMALA,8
ESQUI-SPORT,8
PUNTO DE MIRA,7
