Year,PRESUPUESTO PNC,CONCURSOS SEGURIDAD,CONTRATACIONES DIRECTAS SEGURIDAD
2004,1124200000,0,0
2005,1160000000,56016131.67,0
2006,1288800000,124880671.6,0
2007,1301800000,54692233.31,0
2008,1634800000,75274309.6,0
2009,1886600000,232720155.1,15657868.07
2010,1972800000,390351444.3,55294828.5
2011,2275200000,327975647.2,7232355.3
2012,2347622265,164734312.2,60323597.49
2013,2720828434,499897135.3,88764641.24
2014,3092105375,677375582.8,170571
2015,2900935861,146424042.6,8000
2016,3251931133,64571172.51,2801977.93
2017,0,431323273,6315244.07
2018,0,83495469.21,81543.47
